maintenance_id,asset_id,maintenance_date_or_cycle,component,problem_description,problem_type,action_taken,action_type,severity,source_dataset,synthetic_asset_linkage
MX-0001,AC-045,6,STAND OFF,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENGINE.,routine,CLAMPED STAND OFF AT PUSH ROD TUBE.,CLAMPED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0002,AC-040,50,LACINGS,LACING CORD LOOSE ON SCAT TUBING & IGN LEAD TO FRAME.,routine,REPLACED BOTH LACINGS.,REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0003,AC-033,106,VALVE GUIDE,#2 CYLINDER HAS A STUCK VALVE.,routine,CHECKED VALVE GUIDE CLEARANCE CHECK OK. CLEANED SPARK,CHECKED & CLEANED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0004,AC-075,183,BUTTON PLUG,#3 BAFFLE BUTTON PLUG BAD.,routine,INSTALLED NEW BUTTON PLUG.,INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0005,AC-097,88,ROCKER BOX COVER GASKET,#1 2 & 3 ROCKER BOX COVER GASKETS LEAKING.,routine,INSTALLED NEW ROCKER BOX COVER GASKETS.,INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0006,AC-051,5,INTAKE GASKET,AT 5500 FT EXECUTED ENGINE FAILURE IN FLIGHT & ENGINE.,difficult,REMOVED & REPLACED #2 INTAKE GASKET CHECKED PROP ACCUMULATOR,REMOVED & REPLACED & CHECKED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0007,AC-069,77,PUSH ROD SHROUD,#2 CYLINDER EXHAUST PUSH ROD TUBE HAS SMALL DENT.,routine,INSTALLED PUSH ROD SHROUD USING NEW SEALS.,INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0008,AC-031,7,FIREWALL,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,difficult,FIREWALL REPAIRED BY OUTSIDE SHOP.,REPAIRED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0009,AC-089,214,ROCKER COVER,#2 CYLINDER HAS LOW COMPRESSION.,routine,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,REMOVED & STAKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0010,AC-051,159,SPRING WASHER,MIXTURE LINKAGE LOOSE MISSING SPRING WASHER.,routine,REPLACED SPRING WASHERS & SAFETIED.,REPLACED & SAFETIED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0011,AC-075,57,COWLING,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,routine,REMOVED COWLING CLEANED ENGINE PERFORMED ENGINE RUN UP,REMOVED & CLEANED & RAN,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0012,AC-033,77,unspecified,#3 CYLINDER HAS NO COMPRESSION.,routine,FOUND LEAK FROM EXHAUST VALVE & CONTACT ON PISTON.,unspecified,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0013,AC-095,200,CYLINDER & PUSH RODS,#3 CYLINDER HAS VALVE STICKING.,routine,REMOVED CYLINDER INSTALLED REPAIRED CYLINDER TWO PUSH RODS,REMOVED & INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0014,AC-051,187,TRANSDUCER GROUND PATH,FUEL PRESS 32 - 33 WITH JUMPS INTO RED.,routine,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,CLEANED & CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0015,AC-040,44,A/C,A/C WON'T START.,routine,ATTEMPTED TO START A/C FOR PILOT. BATTERY WAS DEAD.,ATTEMPTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0016,AC-046,64,ENGINE,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE.,routine,PERFORMED ENGINE RUN UP FOUND CYLINDER 2 LOWER PLUG FOULED.,RAN,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0017,AC-075,145,PATCH,#1 ENGINE BAFFLE CRACKED.,routine,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,FABRICATED & RIVETED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0018,AC-013,36,LINE,SCROLL TO PC FLITTER TUBE HAS EXCESSIVE FRETTING UNDER FLOAT.,routine,ORDERED LINE.,ORDERED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0019,AC-034,33,CYLINDER,#3 CYLINDER HAS NO COMPRESSION.,routine,COMPLETED INSTALL OF CYLINDER. DRY TAPPET CLEARANCE CHECKED.,INSTALLED & CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0020,AC-061,162,BAFFLE TIE ROD,L/H BOTTOM BAFFLE WIRE HOLDER IS BROKEN.,routine,REMOVED & REPLACED LOWER L/H BAFFLE TIE ROD.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0021,AC-069,46,OIL COOLER,OIL COOLER NEED TO BE REPLACED.,routine,REMOVED & REPLACED OIL COOLER.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0022,AC-082,35,CLAMP,CYLINDER #3 INTAKE TUBE LEAKING AT SUMP CONNECTOR HOSE.,routine,TIGHTENED CLAMPS.,TIGHTENED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0023,AC-080,113,PUSHROD,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,routine,REMOVED INSPECTED & DETERMINED TO BE SERVICEABLE PUSHROD,REMOVED & INSPECTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0024,AC-046,10,TURBINE ASSEMBLY,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,routine,REMOVED TURBINE ASSEMBLY. PREPPED LOANER TURBINE.,REMOVED & PREPPED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0025,AC-027,14,PLUNGER ASSEMBLY,#2 EXHAUST LIFTER PLUNGER ASSEMBLY CAME APART WHEN CLEANED.,routine,REMOVED PLUNGER ASSEMBLY FROM CORE ENGINE.,REMOVED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0026,AC-051,172,DRILLED CRACK,L/H REAR ENGINE BAFFLE CRACKED.,routine,STOP DRILLED CRACK.,STOP,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0027,AC-004,32,GASKET,#4 CYLINDER HAS NO COMPRESSION.,routine,INSTALLED NEW GASKET LEAK CHECK GOOD.,INSTALLED & CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0028,AC-038,49,OIL PRESSURE RELIEF VALVE,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,routine,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,ADJUSTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
